symbol,value
Ž,0
Š,1
œ,2
ˆ,3
“,4
š,5
’,6
„,7
“,8
Œ,9
“,10
Ÿ,11
ˆ,12
‡,13
ˆ,14
‹,15
š,16
—,17
‘,18
š,19
’,20
Ÿ,21
„,22
›,23
›,24
’,25
…,26
Œ,27
˜,28
„,29
ˆ,30
’,31
ˆ,32
™,33
‚,34
„,35
—,36
†,37
Ÿ,38
’,39
Š,40
“,41
ž,42
ž,43
œ,44
€,45
‰,46
€,47
†,48
–,49
•,50
˜,51
”,52
œ,53
Œ,54
œ,55
’,56
ƒ,57
™,58
Ÿ,59
‰,60
…,61
…,62
•,63
„,64
œ,65
—,66
‹,67
‘,68
Œ,69
…,70
Ÿ,71
ž,72
›,73
„,74
˜,75
œ,76
ž,77
…,78
‚,79
ž,80
•,81
‹,82
Š,83
†,84
Ž,85
‹,86
‹,87
Š,88
•,89
•,90
Ÿ,91
Ž,92
’,93
Š,94
ˆ,95
‡,96
„,97
‚,98
‘,99
Š,100
—,101
‹,102
‡,103
•,104
‚,105
š,106
’,107
…,108
›,109
„,110
–,111
’,112
™,113
“,114
€,115
‡,116
œ,117
†,118
‘,119
’,120
‰,121
€,122
‰,123
‘,124
•,125
ž,126
•,127
™,128
ˆ,129
”,130
›,131
€,132
…,133
ƒ,134
–,135
„,136
˜,137
‰,138
’,139
Ž,140
€,141
–,142
…,143
•,144
‡,145
€,146
—,147
†,148
‡,149
“,150
Œ,151
˜,152
ˆ,153
‹,154
–,155
–,156
ˆ,157
”,158
„,159
Ž,160
™,161
‘,162
ƒ,163
ž,164
‡,165
“,166
•,167
ƒ,168
š,169
–,170
”,171
›,172
œ,173
™,174
‘,175
‚,176
™,177
‡,178
‚,179
‚,180
…,181
‰,182
†,183
Ÿ,184
ž,185
‹,186
–,187
“,188
‹,189
‹,190
Ÿ,191
š,192
ž,193
Ÿ,194
›,195
Š,196
…,197
‘,198
—,199
‚,200
…,201
”,202
š,203
†,204
ž,205
š,206
…,207
…,208
ˆ,209
Š,210
ˆ,211
‘,212
„,213
ƒ,214
›,215
”,216
Œ,217
‹,218
œ,219
…,220
™,221
ž,222
„,223
–,224
†,225
™,226
œ,227
›,228
‚,229
‚,230
‘,231
„,232
„,233
‘,234
‰,235
‰,236
›,237
‡,238
Œ,239
ƒ,240
‚,241
†,242
‘,243
“,244
œ,245
…,246
•,247
Œ,248
›,249
”,250
€,251
›,252
Ž,253
‹,254
Ÿ,255
‚,256
ž,257
†,258
‹,259
–,260
€,261
€,262
ž,263
•,264
‰,265
‹,266
™,267
–,268
˜,269
…,270
‹,271
‹,272
†,273
‘,274
‰,275
‘,276
‘,277
•,278
ƒ,279
‹,280
‘,281
…,282
‡,283
Ÿ,284
•,285
ƒ,286
–,287
‚,288
‘,289
„,290
–,291
‰,292
”,293
–,294
„,295
†,296
‚,297
‹,298
Ÿ,299
ˆ,300
™,301
œ,302
–,303
™,304
‰,305
ˆ,306
”,307
ž,308
“,309
˜,310
“,311
›,312
—,313
“,314
ˆ,315
Ÿ,316
–,317
š,318
Œ,319
Ÿ,320
œ,321
Ÿ,322
‚,323
€,324
‹,325
š,326
š,327
–,328
—,329
ž,330
‡,331
›,332
ƒ,333
…,334
•,335
Š,336
š,337
’,338
ƒ,339
Œ,340
•,341
‡,342
€,343
Œ,344
“,345
š,346
ƒ,347
—,348
„,349
Š,350
ˆ,351
˜,352
ž,353
š,354
‰,355
‰,356
Ž,357
†,358
š,359
„,360
€,361
Š,362
—,363
–,364
ˆ,365
”,366
…,367
”,368
˜,369
‘,370
—,371
‘,372
“,373
œ,374
•,375
•,376
ž,377
‰,378
–,379
˜,380
†,381
Œ,382
ž,383
’,384
ƒ,385
™,386
‰,387
ƒ,388
Ž,389
š,390
‡,391
œ,392
Ÿ,393
Š,394
†,395
”,396
“,397
‚,398
†,399
—,400
š,401
“,402
„,403
‹,404
˜,405
Ÿ,406
“,407
š,408
‚,409
‚,410
‘,411
ƒ,412
™,413
˜,414
‘,415
€,416
‚,417
™,418
‡,419
„,420
Ž,421
œ,422
–,423
œ,424
‰,425
•,426
†,427
’,428
ž,429
Ž,430
“,431
˜,432
œ,433
‘,434
’,435
›,436
’,437
˜,438
˜,439
š,440
ž,441
š,442
…,443
‹,444
…,445
‡,446
™,447
’,448
‹,449
–,450
•,451
•,452
Ÿ,453
Œ,454
Ÿ,455
“,456
–,457
“,458
’,459
Œ,460
—,461
ˆ,462
™,463
”,464
œ,465
œ,466
‚,467
“,468
™,469
‘,470
›,471
›,472
—,473
’,474
Ž,475
Ž,476
›,477
“,478
Ž,479
—,480
–,481
›,482
™,483
‹,484
ž,485
™,486
ž,487
–,488
Ÿ,489
‡,490
˜,491
‘,492
—,493
–,494
‹,495
Œ,496
”,497
›,498
—,499
